Municipality,Township,Name,Sub_Location,Address,Latitude,Longitude,Address found
Mitchell Shire,Kilmore,Kilmore Racing Club,J Kelly Pavilion,East Street  (opposite Gipps Street),-37.2916817,144.959829,"East St, Kilmore VIC 3764, Australia"
Murrindindi Shire,Kinglake West,Kinglake West Recreation Reserve,,Corner of Whittlesea-Kinglake Road and Recreation Road,-37.4808379,145.2585914,"Whittlesea-Kinglake Rd & Recreation Rd, Kinglake West VIC 3757, Australia"
Moyne Shire,Koroit,Victoria Park,"Car parking area at entry
to oval",High Street  (between  King Street and Garden Street),-38.2977865,142.3647347,"Garden St, Koroit VIC 3282, Australia"
Horsham Rural city,Laharum,Laharum Football Ground,,Northern Grampians Road,-36.9246936,142.3272489,"Northern Grampians Rd, Laharum VIC 3401, Australia"
Ararat Rural City,Lake Bolac,Lake Bolac Information Centre,"Car Park and Footpath
area",2116 Glenelg Highway (near corner Mortlake-Ararat Road),-37.7115335,142.840844,"Comfort Station and Playground, 2116 Glenelg Hwy, Lake Bolac VIC 3351, Australia"
Macedon Ranges Shire,Lancefield,Lancefield Mechanics Institute,,4 The Crescent (Corner High Street),-37.2770229,144.7354867,"4 The Crescent, Lancefield VIC 3435, Australia"
Pyrenees Shire,Landsborough,Landsborough Recreation Reserve,,Corner Back School Road & Forestry Road,-37.0076497,143.1369647,"Landsborough Recreation Reserve, Landsborough VIC 3384, Australia"
Pyrenees Shire,Lexton,Toll Bar Recreation Reserve,,Williamson Street (between  Sunraysia Highway & Skene Street),-37.2746069,143.5147871,"Williamson St, Lexton VIC 3352, Australia"
Yarra Ranges Shire,Lilydale,Lake Park,,Swansea Road,-37.7816295,145.3631365,"Swansea Rd, Lilydale VIC 3140, Australia"
Yarra Ranges Shire,Lilydale,Reserve,,Main Street (Maroondah Highway) opposite Hutchinson Street,-37.7591788,145.3476634,"Hutchinson St, Lilydale VIC 3140, Australia"
Golden Plains Shire,Linton,Linton Recreation Reserve,,Brooke Street,-37.683417,143.5681611,"Linton Football Ground, Linton VIC 3360, Australia"
Corangamite Shire,Lismore,Lismore Recreation Reserve,"Area between  two Ovals
opposite Heriot Street",Seymour Street  (opposite Heriot Street),-37.9581269,143.3413607,"Lismore Recreation Reserve, Lismore VIC 3324, Australia"
Wellington Shire,Loch Sport,Lions Park,,Lake Street  opposite Second Street  North,-38.0498909,147.5791166,"Second St N, Loch Sport VIC 3851, Australia"
Strathbogie Shire,Longwood,Longwood Recreation Reserve,Pavilion,Down Street  (Depot Road),-36.8054055,145.4284723,"Longwood Recreation Reserve, Longwood VIC 3665, Australia"
Surf Coast Shire,Lorne,Point Grey,Picnic Area and Carpark,Great Ocean Road (between  Mountjoy Parade and Hird Street),-38.551432,143.9843294,"Hird St, Lorne VIC 3232, Australia"
Surf Coast Shire,Lorne,Lorne Foreshore,,Mountjoy Parade opposite William Street,-38.5356032,143.9742369,"2 Great Ocean Rd, Lorne VIC 3232, Australia"
Casey City Council,Lysterfield South,"Council Road Reserve (Melbourne
Water Retarding Basin)",,98 Churchill Park Drive,-37.958598,145.2689852,"98 Churchill Park Dr, Lysterfield South VIC 3156, Australia"
Casey City Council,Lysterfield South,Municipal Reserve,,Cnr Parkside Boulevard and Lake Park Court,-37.9582936,145.2790004,"Lake Park Ct & Parkside Blvd, Lysterfield South VIC 3156, Australia"
Macedon Ranges Shire,Macedon,Tony Clarke Reserve,"Macedon Community
Centre",Waterfalls Road (between Honour Avenue and King Street),-37.4171299,144.5728331,"Tony Clarke Recreation Reserve, Macedon VIC 3440, Australia"
Greater Bendigo City,Maiden Gully,Maiden Gully Primary School,"Basketball courts and
surrounds",Corner Carolyn Way and Glenelg Drive,-36.7442176,144.2096713,"10 Carolyn Way, Maiden Gully VIC 3551, Australia"
Mansfield Shire,Maindample,Maindample Fire Station,Shed,"Main Street, near Railway Street intersection",-37.0276996,145.9403746,"41 Main St, Maindample VIC 3723, Australia"
Mount Alexander Shire,Maldon,Bill Woodfull Recreation Reserve,Pavilion,Francis Street,-36.9962175,144.0653875,"Bill Woodfull Recreation Reserve, Maldon VIC 3463, Australia"
East Gippsland Shire,Mallacoota,Foreshore,,Allan Drive (between Coulls Point and Captains Point),-37.5583491,149.7568547,"Mallacoota VIC 3892, Australia"
Strathbogie Shire,Mangalore,Mangalore Airport,Main Building,Mangalore Airport Road (off Aerodrome Road),-36.8921771,145.1845012,"Mangalore Airport, 331 Aerodrome Rd, Mangalore VIC 3663, Australia"
Mansfield Shire,Mansfield,Recreation Reserve Sporting Complex,,Highett Street (between  Victoria Street and Curia Street),-37.0529762,146.0849292,"Curia St, Mansfield VIC 3722, Australia"
Central Goldfields Shire,Maryborough,Jack Pascoe Reserve,Oval,"Bounded by Gillies Street, Majorca Road and Cadle Street",-37.0570953,143.7432532,"Cadle St & Majorca Rd, Maryborough VIC 3465, Australia"
Central Goldfields Shire,Maryborough,Princes Park,Oval,40 Park Road (between  Nightingale Street and Wills Street),-37.0404286,143.7369092,"Wills St, Maryborough VIC 3465, Australia"
Murrindindi Shire,Marysville,Marysville Community Centre,Located in Gallipoli Park,Falls Road,-37.5124824,145.7498609,"15 Falls Rd, Marysville VIC 3779, Australia"
"Mornington Peninsula
Shire",McCrae,McCrae Plaza,Car Park,Corner Point Nepean Road and Lonsdale Street,-38.3514457,144.9219631,"739 Point Nepean Rd, McCrae VIC 3938, Australia"
Mildura Rural City,Merbein,Kenny Park,,"Bounded by Calder Hwy (3rd St), Smith & Box St (Enter: Cnr
Smith & Box",-34.1665344,142.0562193,"Box St, Merbein VIC 3505, Australia"
Glenelg Shire,Merino,High Street  Service Road,"Between  Fire Station and
Public Hall","High Street  (Portland-Casterton Road) Service Road between
house number 6 and 10",-37.7205029,141.5496566,"Merino VIC 3310, Australia"
Mansfield Shire,"Merrijig (Mount
Buller)",Merrijig Public Hall,,"Corner Mount Buller Road and Alpha Street (opposite Fire
Station)",-37.1026785,146.257892,"1 Alpha St, Merrijig VIC 3723, Australia"
Mansfield Shire,Merton,"Merton Recreation Reserve
Racecourse","Grassed area between
sports hall and pergola",Merton-Euroa Road near junction of Maroondah Highway,-36.9725961,145.7036706,"Merton Recreation Reserve, Merton VIC 3715, Australia"
Mildura Rural City,Mildura,Mildura South Football Club,,"Bounded by Twelfth St, San Mateo Ave & Eleventh St (entry off
Twelfth)",-34.1954449,142.1619473,"Twelfth St, Mildura VIC 3500, Australia"
Mildura Rural City,Mildura,Showgrounds,,"Bounded by Twelfth St, Etiwanda Ave & Eleventh St (entry off
Twelfth)",-34.2237263,142.1357141,"Etiwanda Ave, Mildura VIC 3500, Australia"
Mildura Rural City,Mildura,Old Aerodrome Sporting Complex,Ovals,"Cnr Eleventh Street (Ranfurly Way) & Flora Avenue (Ranfurly
Way)",-34.1736825,142.1389666,"460 Eleventh St, Mildura VIC 3500, Australia"
Yarra Ranges Shire,Millgrove,Millgrove Recreation Reserve,,Moore Crescent,-37.7532687,145.650426,"20 Moore Cres, Millgrove VIC 3799, Australia"
Yarra Ranges Shire,Monbulk,Monbulk Recreation Reserve,Oval,2B Moores Road,-37.8754288,145.4098954,"2B Moores Rd, Monbulk VIC 3793, Australia"
Pyrenees Shire,Moonambel,Moonambel Recreation Reserve,,Stawell-Avoca Road (opposite Moonambel-Natte Yallock Road),-36.9915809,143.3363495,"Moonambel Recreation Reserve, Moonambel Road, Moonambel VIC 3478, Australia"
Surf Coast Shire,Moriac,"Newling Reserve/Moriac Community
Centre","Grassed area at rear of
building","Hendy Main Road (between  Deppeler Avenue and Cooks Lane).
Entry also available from Daniel Drive",-38.2453947,144.1716192,"830 Hendy Main Rd, Moriac VIC 3240, Australia"
Moyne Shire,Mortlake,Mortlake Market Square,,"Bounded by Shaw St (Hamilton Hwy), Officer St & Townsend St",-38.0798799,142.8082636,"Officer St & Townsend St, Mortlake VIC 3272, Australia"
Alpine Shire,Mount Beauty,Sports Stadium,,Pool Road,-36.7420548,147.1694677,"Pool Rd, Mount Beauty VIC 3699, Australia"
Ballarat City,Mount Clear,Midvale Shopping Centre,Car Park,Cnr Ballarat-Buninyong Road & Whitehorse Road,-37.6025121,143.8685808,"Midvale Shopping Centre, Mount Clear VIC 3350, Australia"
"Mornington Peninsula
Shire",Mount Eliza,Emil Madsen Reserve,,261 Wooralla Drive (near Moorooduc Highway),-38.2190111,145.0955138,"261 Wooralla Dr, Mount Eliza VIC 3930, Australia"
Yarra Ranges Shire,Mount Evelyn,"Yarra Hills Secondary College - Mount
Evelyn Campus",Sports Oval,Burdap Drive,-37.7741291,145.3843182,"70 Burdap Dr, Mount Evelyn VIC 3796, Australia"
"Mornington Peninsula
Shire",Mount Martha,Shopping Precinct,Car Park,Bay Road (between  Howey Road and Langrigg Avenue),-38.267448,145.0143988,"Langrigg Ave & Howey Rd, Mount Martha VIC 3934, Australia"
Surf Coast Shire,Mount Moriac,Mt Moriac Reserve,"Western half of No. 1 Oval
(Main)",755 Reservoir Road (between  Ervins Road and Drewry Lane),-38.2260429,144.2060785,"Drewry Ln, Mount Moriac VIC 3240, Australia"
Ararat Rural City,Moyston,Moyston Recreation Reserve,,"Corner Moyston-Great Western Road and Ararat-Halls Gap
Road",-37.29751,142.7676712,"Moyston Recreation Reserve - Part, Moyston-Great Western Rd, Moyston VIC 3377, Australia"
Gannawarra Shire,Murrabit,Football Ground,Oval,Browning Avenue (opposite Danson Street),-35.5278878,143.951203,"Browning Ave, Murrabit VIC 3579, Australia"
Mildura Rural City,Murrayville,"Murrayville Caravan Park and
Swimming Pool","Grassed area between
Poole Street  and Last
Street",34 Reed Street  (between  Poole Street and Last Street),-35.266136,141.1811705,"Murrayville VIC 3512, Australia"
Alpine Shire,Myrtleford,McNamara Reserve,Ablett Pavilion,35 Lewis Avenue,-36.5667628,146.72348,"35 Lewis Ave, Myrtleford VIC 3737, Australia"
Alpine Shire,Myrtleford,McNamara Reserve,Oval,35 Lewis Avenue,-36.5667628,146.72348,"35 Lewis Ave, Myrtleford VIC 3737, Australia"
Strathbogie Shire,Nagambie,Nagambie Regatta Centre,,Loddings Lane (off Vickers Road),-36.787875,145.130124,"66 Loddings Ln, Nagambie VIC 3608, Australia"
Casey City Council,"Narre Warren
North",Municipal Reserve,,100 Crawley Road (opposite Jack Robbie Court),-37.994251,145.331749,"100 Crawley Rd, Narre Warren North VIC 3804, Australia"
Horsham Rural city,Natimuk,"Natimuk Showgrounds Recreation
Reserve",,Corner Mitchell Street and Jory Street,-36.7429545,141.9490879,"Natimuk Showgrounds Recreation Reserve, Natimuk VIC 3409, Australia"
Pyrenees Shire,Natte Yallock,Natte Yallock Recreation Reserve,"Oval area in front of club
house",Reserve Road (off Maryborough-St Arnaud Road),-36.938155,143.4709557,"Natte Yallock Recreation Reserve, 26 Reserve Rd, Natte Yallock VIC 3465, Australia"
Glenelg Shire,Nelson,"Grassed area (River Bank) adjacent to
Visitor Information Centre","From Bridge in the north
to Kiosk in the south","Leake Street (between  Kellett Street and Portland-Nelson
Road)",-38.0492694,141.0111578,"Portland-Nelson Rd & Kellett St, Nelson VIC 3292, Australia"
Glenelg Shire,Nelson,Nelson Boat Ramp Car Park,,Corner Leake Street  and Kellett Street,-38.0500067,141.0071733,"31 Kellett St, Nelson VIC 3292, Australia"
Mount Alexander Shire,Newstead,Newstead Community Centre,,9 Lyons Street (Pyrenees Highway),-37.106992,144.060482,"3462/9 Lyons St, Newstead VIC 3462, Australia"
Hindmarsh Shire,Nhill,Davis Park Recreation Reserve,South east quarter of Oval,"Bounded by Davis Avenue, Park Street, King Street  and Fraser
Street",-36.33278,141.6503408,"Nhill VIC 3418, Australia"
Corangamite Shire,Noorat,Noorat Recreation Reserve,Oval,65 Mackinnons Bridge Road,-38.1908564,142.9378295,"Noorat Recreation Reserve, Noorat VIC 3265, Australia"
Greater Bendigo City,North Bendigo,Showgrounds,,Bendigo-Eaglehawk Road (Holmes Road) opposite Havilah Road,-36.7373216,144.2712559,"North Bendigo VIC 3550, Australia"
East Gippsland Shire,Omeo,Omeo Recreation Reserve,,Corner Day Avenue and Park Street,-37.0946273,147.5978727,"Omeo Recreation Reserve, Omeo VIC 3898, Australia"
East Gippsland Shire,Orbost,Orbost Cricket Club Oval,,Cnr Nicholson St and Gladstone St (entry off Gladstone St),-37.7024513,148.4561058,"Nicholson St & Gladstone St, Orbost VIC 3888, Australia"
Mildura Rural City,Ouyen,Blackburn Park,,Cnr Farrell Street (Calder Hwy) & Hughes Street  (Mallee Hwy),-35.0734119,142.3220965,"Blackburn Park, Ouyen VIC 3490, Australia"
Moyne Shire,Panmure,Panmure Public Hall Grounds,"including open space out
front",Princes Highway at Servi ce Road entry,-38.3371037,142.7126056,"Princes Hwy, Panmure VIC 3265, Australia"
Manningham City,Park Orchards,Domeney Reserve,Pavilion Verandah,24-52 Knees Road (opposite Orchid Court),-37.7750797,145.2184682,"24-52 Knees Rd, Park Orchards VIC 3114, Australia"
East Gippsland Shire,Paynesville,A.J. Freeman Reserve Oval 1,,Main Road between  King Street and Ashley Street,-37.9113226,147.7149975,"Ashley St, Paynesville VIC 3880, Australia"
Casey City Council,Pearcedale,Recreation Reserve,,720 Baxter-Tooradin Road (opposite Gracemere Drive),-38.2024579,145.229038,"720 Baxter-Tooradin Rd, Pearcedale VIC 3912, Australia"
"Southern Grampians
Shire",Penshurst,"Grassed road reserve at rear of
Penshurst Senior Citizens Centre",,French Street  between  Bell Street and Watton Street,-37.8765421,142.2902229,"Watton St, Penshurst VIC 3289, Australia"
Moyne Shire,Peterborough,Monument Car Park,,Irvine Road (at the roads end on the Coast),-38.604297,142.8730002,"Peterborough VIC 3270, Australia"
Bass Coast Shire,Pioneer Bay,Daisy Road Reserve,,11 Daisy Avenue (entry also available from Sonia Crescent),-38.3798695,145.5494417,"Sonia Cres, Pioneer Bay VIC 3984, Australia"
Alpine Shire,Porepunkah,Community Hall,,1 Martley Street,-36.6981596,146.9118075,"1 Martley St, Porepunkah VIC 3740, Australia"
Alpine Shire,Porepunkah,Oval,,Cnr Nicholson Street & Martley Street,-36.6996798,146.910568,"Martley St & Nicholson St, Porepunkah VIC 3740, Australia"
Wellington Shire,Port Albert,Port Albert Boat Ramp,Car park and surrounds,Cnr Wharf St (Yarram-Port Albert Rd) & Bay St,-38.651128,146.675298,"Yarram-Port Albert Rd, Port Albert VIC 3971, Australia"
Corangamite Shire,Port Campbell,Port Campbell Foreshore,,Cairns Street (between  Tregea  Street and Lord Street),-38.6202809,142.993814,"Port Campbell Foreshore, 26 Cairns St, Port Campbell VIC 3269, Australia"
Glenelg Shire,Portland,Civic Hall,Car Park,30 Bentinck Street (between  Glenelg Street and Gawler Street),-38.3504361,141.6013195,"Gawler St, Portland VIC 3305, Australia"
"Mornington Peninsula
Shire",Portsea,WE Newton  Reserve,,Point Nepean Road (opposite Nepean Place),-38.3197684,144.7136005,"We Newton Reserve, 3790 Point Nepean Rd, Portsea VIC 3944, Australia"
Mitchell Shire,Pyalong,Pyalong Recreation Reserve,Building,Northern Highway (near corner of West Road),-37.1133249,144.8552457,"Pyalong Recreation Reserve, Pyalong VIC 3521, Australia"
Loddon Shire,Pyramid Hill,Mitchell Park,Oval,Gladfield Road,-36.0542475,144.1076082,"Mitchell Park, Pyramid Hill VIC 3575, Australia"
Hindmarsh Shi re,Rainbow,Federal Street,"Footpath area outside
MECCA building",Corner of Federal Street  and Butter Factory Lane,-35.8979253,141.9945796,"Federal St & Butter Factory Ln, Rainbow VIC 3424, Australia"
East Gippsland Shire,Raymond Island,"Raymond Island Community Centre
Hall",,Corner Fifth Parade and Sixth Avenue,-37.9222028,147.7270724,"Fifth Parade & Sixth Avenue, Raymond Island VIC 3880, Australia"
Greater Bendigo City,Redesdale,Agnes Mudford Recreation Reserve,"Open space between Public
Hall and Oval Pavilion",2631 Kyneton-Redesdale Road,-37.0222011,144.5307089,"Recreation Reserve, Redesdale VIC 3444, Australia"
Mildura Rural City,Red Cliffs,Quandong Park,,Cnr Erskine Avenue & Calder Highway (entry off Erskine Ave),-34.2999821,142.1918944,"Quandong Park, Red Cliffs VIC 3496, Australia"
"Mornington Peninsula
Shire",Red Hill,"Red Hill Recreation Reserve Top
Oval (closest to Arthurs Seat Rd)",,184 Arthurs Seat Road (corner Arkwells Lane),-38.3699164,145.0121768,"184 Arthurs Seat Rd, Red Hill VIC 3937, Australia"
Pyrenees Shire,Redbank,Redbank Recreation Reserve,"Grassed area between
playground and Burge Street",Burge Street,-36.9349887,143.3255142,"Redbank Recreation Reserve, Redbank VIC 3477, Australia"
Macedon Ranges Shire,Riddells Creek,Riddells Creek Leisure Centre,Stadium,Cnr Sutherlands & Racecourse Rds (entry off Sutherlands Rd),-37.462109,144.6835199,"LOT 9 Sutherlands Rd, Riddells Creek VIC 3431, Australia"
Swan Hill Rural City,Robinvale,Recreation Reserve,,Latje Road,-34.5929771,142.7823027,"Latje Rd, Robinvale VIC 3549, Australia"
"Mornington Peninsula
Shire",Rosebud,Olympic Park,,80 Besgrove St opposite Lyndon Drv (entry also Eastbourne Rd),-38.3676685,144.8977204,"Eastbourne Rd, Rosebud VIC 3939, Australia"
Golden Plains Shire,Ross Creek,"Ross Creek Recreation Centre Car
Park",,Sebastopol -Smythesdale Road (near Lacys Road),-37.6285079,143.7673321,"Sebastopol-Smythesdale Rd, Ross Creek VIC 3351, Australia"
Strathbogie Shire,Ruffy,Ruffy Recreation Reserve Oval,Maygar Park,Noye Lane (off Buntings Hill Road north east of Ruffy),-36.9543127,145.5264701,"Buntings Hill Rd, Ruffy VIC 3666, Australia"
Indigo Shire,Rutherglen,Rutherglen Showgrounds Arena,"South of AE Henderson
Pavilion",High Street  opposite Indigo Court,-36.0582776,146.4562419,"Rutherglen VIC 3685, Australia"
"Mornington Peninsula
Shire",Rye,Shopping Strip and Foreshore,,"Township area between Dundas St & Hygeia St (including
foreshore)",-38.3736079,144.8303489,"Hygeia St, Rye VIC 3941, Australia"
Indigo Shire,Sandy Creek,Sandy Creek Recreation Reserve,Club Rooms,"Lockharts Gap Road between  Sandy Creek Road and Reserve
Road",-36.2761995,147.111184,"Sandy Creek Recreation Reserve, Sandy Creek VIC 3695, Australia"
South Gippsland Shire,Sandy Point,Sandy Point Community Centre,,Corner Ocean View Parade and Church Parade,-38.8298301,146.1254272,"Church Parade, Sandy Point VIC 3959, Australia"
Loddon Shire,Serpentine,"Janiember Park (formerly Serpentine
Recreation Reserve)","South east quarter of Oval
only",Corner Chapel Street and Park View Drive,-36.4081063,143.9708139,"Janiember Park, Serpentine VIC 3517, Australia"
Mitchell Shire,Seymour,Chittick Park,Oval,Pollard Street,-37.028705,145.1496554,"Chittick Park, Seymour VIC 3660, Australia"
Corangamite Shire,Skipton,Skipton Recreation Reserve,Oval,"Bounded by Smythe Street,  Johnson Street, Osborne Street and
Anderson Street",-37.6894518,143.36598,"Skipton Recreation Reserve, Skipton VIC 3361, Australia"
Golden Plains Shire,Smythesdale,Smythesdale Recreation Reserve,"Area in front of main
pavilion",55 Heales Street,-37.6435168,143.6823619,"Smythesdale Recreation Reserve, Smythesdale VIC 3351, Australia"
Pyrenees Shire,Snake Valley,St Brigid's Catholic Church,Open space on north side,Cnr Linton-Carngham Road & Murrays St,-37.6128163,143.5851054,"870 Linton-Carngham Rd, Snake Valley VIC 3351, Australia"
"Mornington Peninsula
Shire",Sorrento,David MacFarlan Reserve,,Cnr Melbourne Road and Hotham Road,-38.3378764,144.736398,"David Macfarlan Reserve, Sorrento VIC 3943, Australia"
"Northern Grampians
Shire",St Arnaud,Lord Nelson Park Oval (Harness),,Dunstan Street (off Charlton-St Arnaud Road),-36.6098251,143.2606501,"Lord Nelson Park, 26 Dunstan St, St Arnaud VIC 3478, Australia"
Indigo Shire,Stanley,Stanley Recreation Reserve,Pavilion,Pioneer Road,-36.4028116,146.7556002,"Stanley Recreation Reserve, Stanley VIC 3747, Australia"
"Northern Grampians
Shire",Stawell,Cato Park,,Victoria Street (opposite Haitts Lane),-37.0594791,142.7773742,"Cato Park, Stawell VIC 3380, Australia"
Strathbogie Shire,Strathbogie,Strathbogie Golf Club,Club House,Armstrong Avenue,-36.8550682,145.7382659,"Strathbogie VIC 3666, Australia"
Greater Bendigo City,Strathfieldsaye,Primary School,,9 Uxbridge Street (opposite Apsley Street),-36.8043488,144.3519248,"9 Uxbridge St, Strathfieldsaye VIC 3551, Australia"
Ararat Rural City,Streatham,Streatham Memorial Hall,"Footpath and forecourt in
front",30 Campbell Street (Glenelg Highway),-37.6791699,143.0623357,"30 Campbell St, Streatham VIC 3351, Australia"
Swan Hill Rural City,Swan Hill,Showgrounds Recreation Reserve,,McCallum Street,-35.3384133,143.5530804,"Swan Hill VIC 3585, Australia"
East Gippsland Shire,Swan Reach,Swan Reach Oval,,Duffy Street (opposite Swan Street),-37.8228507,147.8596604,"Swan St, Swan Reach VIC 3903, Australia"
Benalla Rural City,Swanpool,Swanpool and District Memorial Hall,,Midland Highway,-36.7462536,146.0003541,"2386 Midland Hwy, Swanpool VIC 3673, Australia"
Central Goldfields Shire,Talbot,Pioneer Reserve,,Cnr Fyfe Street and Scandinavian Crescent,-37.1720382,143.7024338,"Pioneer Reserve, Scandinavian Cres, Talbot VIC 3371, Australia"
Mitchell Shire,Tallarook,CWA Park,,Corner Main St (Upper Goulburn Road) and Railway Place,-37.0929671,145.1034031,"Cwa Park, Tallarook VIC 3659, Australia"
Indigo Shire,Tangambalanga,Tangambalanga Community Centre,,29 Kiewa East Rd,-36.2547705,147.0160767,"29 Kiewa E Rd, Kiewa VIC 3691, Australia"
Mount Alexander Shire,Taradale,Taradale Hall,,"Corner High Street (Calder Highway/Malmsbury-Elphinstone
Road) and De La Beche Street",-37.1399068,144.3493866,"De La Beche St, Taradale VIC 3447, Australia"
Benalla Rural City,Tatong,Tatong Recreation Reserve,Community Hub,Corner of Coghill Road and Tiger Hill Road,-36.7296508,146.1138766,"Tatong Recreation Reserve, Tatong VIC 3673, Australia"
Alpine Shire,Tawonga,Hall,,44 Kiewa Valley Highway,-36.6868073,147.1409861,"44 Kiewa Valley Highway, Tawonga VIC 3697, Australia"
Corangamite Shire,Terang,Terang Recreation Reserve,,25 Strong Street,-38.2442883,142.9207783,"25 Strong St, Terang VIC 3264, Australia"
Benalla Rural City,Thoona,Thoona Memorial Hall,,Corner Sargeant Street and Nichol Street,-36.3401442,146.0772749,"Sargeant St & Nichol St, Thoona VIC 3726, Australia"
Murrindindi Shire,Thornton,Thornton Recreation Reserve,Oval,"Taggerty-Thornton Road (near corner Goulburn Valley
Highway)",-37.2571525,145.7984892,"Thornton Recreation Reserve, Taggerty-Thornton Rd, Thornton VIC 3712, Australia"
Corangamite Shire,Timboon,Timboon and District Hall,,53 Bailey Street (near corner George Street),-38.4833936,142.9731458,"53 Bailey St, Timboon VIC 3268, Australia"
Mansfield Shire,Tolmie,Tolmie Fire Station,,Cnr Old Tolmie Rd (Spring Creek Rd) & Tolmie-Mahaikah Rd,-36.9295305,146.2547749,"Tolmie-Mahaikah Rd, Tolmie VIC 3723, Australia"
Mitchell Shire,Tooborac,Tooborac Recreation Reserve,Public Hall,"Northern Highway (between  Seymour-Tooborac Road and
Middle Springs Road)",-37.0392802,144.7977757,"Tooborac Recreation Reserve, Tooborac VIC 3522, Australia"
Hepburn Shire,Trentham,Central Business District,,Camp Street (between  Cosmo Road and Bowen Street),-37.3908971,144.3246649,"Bowen St, Trentham VIC 3458, Australia"
Mildura Rural City,Underbool,Underbool-Linga Memorial Hall,,Corner Monash Avenue and Malkin Avenue,-35.1711261,141.8087149,"Malkin Ave & Monash Ave, Underbool VIC 3509, Australia"
Yarra Ranges Shire,Upwey,"Dandenong Ranges Community
Cultural Centre 'Burrinja'",Car Park at North of site,Corner Glenfern Road and Matson Drive,-37.917008,145.3346781,"Wurundjeri Country, 351 Glenfern Rd, Upwey VIC 3158, Australia"
Yarra Ranges Shire,Upwey,Recreation Reserve,,Alexander Ave (opposite Austral Ave) entry also via Chosen Ave,-37.9040783,145.3365764,"Chosen Ave, Upwey VIC 3158, Australia"
Strathbogie Shire,Violet Town,Violet Town Recreation Reserve,Pavilion,Tulip Street opposite Hyacinth Street,-36.6343961,145.7196403,"Violet Town Recreation Reserve, Violet Town VIC 3669, Australia"
Mitchell Shire,Wallan,Hadfield Park,(outdoors area),"Bounded by Northern Hwy, Wallan-Whittlesea Rd, Windham St
& Queen St",-37.4200841,145.0125485,"Wallan-Whittlesea Rd, Wallan VIC 3756, Australia"
Yarra Ranges Shire,Wandin North,Wandin North Reserve,,Corner Clegg Road and Warburton Highway,-37.7826893,145.4300295,"Wandin North Reserve, Wandin North VIC 3139, Australia"
Yarra Ranges Shire,Warburton,Warburton Recreation Reserve,Oval,Warburton Highway,-37.7519408,145.6946469,"3455-3457 Warburton Hwy, Warburton VIC 3799, Australia"
Yarriambiack Shire,Warracknabeal,Anzac Park,"Open Space out front of
Community Centre","Bounded by Scott Street,  Arnold Street, Molyneaux Street and
Gardiner Street",-36.2591972,142.3978464,"Gardiner St & Molyneaux St, Warracknabeal VIC 3393, Australia"
Manningham City,Warrandyte,Skate Park and Basketball Courts,,Corner Taroona Avenue and Heidelberg-Warrandyte Road,-37.7466274,145.206484,"Heidelberg-Warrandyte Rd & Taroona Ave, Warrandyte VIC 3113, Australia"
Warrnambool City,Warrnambool,Albert Park - Mack Oval,Car Park,Grafton Road,-38.3799019,142.5004194,"Grafton Rd, Warrnambool VIC 3280, Australia"
Warrnambool City,Warrnambool,Lake Pertobe Adventure Playground,Car Park,Pertobe Road (Opposite Warrnambool Surf Life Saving Club),-38.3928467,142.4782179,"47-107 Pertobe Rd, Warrnambool VIC 3280, Australia"
Warrnambool City,Warrnambool,Merrivale Recreation Reserve,Car Park,"Cnr Merrivale Drive & Landmann Street  (entry off Merrivale
Drv)",-38.3770147,142.4555403,"Merrivale Recreation Reserve, Warrnambool VIC 3280, Australia"
Warrnambool City,Warrnambool,Albert Park - Football Club,Car Park,Cramer Street,-38.3807316,142.5011891,"Albert Park, Warrnambool VIC 3280, Australia"
Warrnambool City,Warrnambool,Davidson Oval,Car Park,Cnr Caramut Road & Fairfax Avenue (entry off Caramut Road),-38.3627779,142.4618692,"29 Fairfax Ave, Warrnambool VIC 3280, Australia"
Warrnambool City,Warrnambool,Albert Park - Walter Oval,Car Park,Coulstock Street Entry (opposite Foster Street),-38.381599,142.4981894,"Warrnambool VIC 3280, Australia"
Warrnambool City,Warrnambool,EJ King Reserve,Car Park,Simpson Street (between  Otway Road and Bostock Street),-38.3896329,142.5055875,"Bostock St, Warrnambool VIC 3280, Australia"
Warrnambool City,Warrnambool,Albert Park - Reid Oval,"(sealed road at southern
edge)",Coulstock Street Entry (between  Japan St & Foster St),-38.3794673,142.4955231,"Warrnambool VIC 3280, Australia"
Pyrenees Shire,Waubra,Waubra Recreation Reserve,"Grassed area between
bowling club and oval",2091 Sunraysia Highway,-37.3553232,143.6333267,"2091 Sunraysia Hwy, Waubra VIC 3352, Australia"
Loddon Shire,Wedderburn,Donaldson Park/Wedderburn Harness,Oval,"Bounded by Chapel Street, Hospital Street, Godfrey Street and
Peters Street",-36.419015,143.6170169,"Donaldson Park, Wedderburn VIC 3518, Australia"
Mitchell Shire,Wandong,"Wandong Plaza and IGA Supermarket
Carpark",,3272 Epping-Kilmore Road,-37.3584584,145.0265087,"3272 Epping-Kilmore Rd, Wandong VIC 3758, Australia"
Wangaratta Rural City,Whitfield,Whitfield Recreation Reserve,Sports Pavilion,Mansfield-Whitfield Road,-36.7658424,146.4093322,"LOT 2 Mansfield-Whitfield Rd, Whitfield VIC 3733, Australia"
Whittlesea City,Whittlesea,A.F. Walker Reserve,,Cnr Laurel Street  and Forest Street,-37.5113575,145.1208194,"Forest St, Whittlesea VIC 3757, Australia"
